League,Team,Opponent,TransitionClass,TeamMatchRows,OpponentTotalRows,TransitionRateVsOpponentPct
German Bundesliga,Dortmund,Schalke 04,Protected Lead,4,14,28.57
German Bundesliga,Dortmund,Schalke 04,Stable Draw,4,14,28.57
German Bundesliga,Dortmund,St Pauli,Draw Breakthrough,1,2,50.0
German Bundesliga,Dortmund,St Pauli,Protected Lead,1,2,50.0
German Bundesliga,Dortmund,Stuttgart,Comeback Win,1,16,6.25
German Bundesliga,Dortmund,Stuttgart,Draw Breakthrough,2,16,12.5
German Bundesliga,Dortmund,Stuttgart,Draw Lost,5,16,31.25
German Bundesliga,Dortmund,Stuttgart,Lead Slip,1,16,6.25
German Bundesliga,Dortmund,Stuttgart,No Recovery,1,16,6.25
German Bundesliga,Dortmund,Stuttgart,Protected Lead,6,16,37.5
German Bundesliga,Dortmund,Union Berlin,Comeback Win,1,12,8.33
German Bundesliga,Dortmund,Union Berlin,Draw Lost,2,12,16.67
German Bundesliga,Dortmund,Union Berlin,No Recovery,2,12,16.67
German Bundesliga,Dortmund,Union Berlin,Protected Lead,7,12,58.33
German Bundesliga,Dortmund,Werder Bremen,Draw Breakthrough,5,18,27.78
German Bundesliga,Dortmund,Werder Bremen,Lead Collapse,1,18,5.56
German Bundesliga,Dortmund,Werder Bremen,Lead Slip,3,18,16.67
German Bundesliga,Dortmund,Werder Bremen,No Recovery,1,18,5.56
German Bundesliga,Dortmund,Werder Bremen,Protected Lead,6,18,33.33
German Bundesliga,Dortmund,Werder Bremen,Stable Draw,2,18,11.11
German Bundesliga,Dortmund,Wolfsburg,Draw Breakthrough,5,20,25.0
German Bundesliga,Dortmund,Wolfsburg,Lead Slip,1,20,5.0
German Bundesliga,Dortmund,Wolfsburg,No Recovery,1,20,5.0
German Bundesliga,Dortmund,Wolfsburg,Protected Lead,12,20,60.0
German Bundesliga,Dortmund,Wolfsburg,Stable Draw,1,20,5.0
German Bundesliga,Ein Frankfurt,Augsburg,Comeback Win,2,20,10.0
German Bundesliga,Ein Frankfurt,Augsburg,Draw Breakthrough,2,20,10.0
German Bundesliga,Ein Frankfurt,Augsburg,Lead Slip,1,20,5.0
German Bundesliga,Ein Frankfurt,Augsburg,No Recovery,5,20,25.0
German Bundesliga,Ein Frankfurt,Augsburg,Protected Lead,3,20,15.0
German Bundesliga,Ein Frankfurt,Augsburg,Recovery Draw,1,20,5.0
German Bundesliga,Ein Frankfurt,Augsburg,Stable Draw,6,20,30.0
German Bundesliga,Ein Frankfurt,Bayern Munich,Draw Breakthrough,1,20,5.0
German Bundesliga,Ein Frankfurt,Bayern Munich,Draw Lost,2,20,10.0
German Bundesliga,Ein Frankfurt,Bayern Munich,No Recovery,10,20,50.0
German Bundesliga,Ein Frankfurt,Bayern Munich,Protected Lead,3,20,15.0
German Bundesliga,Ein Frankfurt,Bayern Munich,Recovery Draw,1,20,5.0
German Bundesliga,Ein Frankfurt,Bayern Munich,Stable Draw,3,20,15.0
German Bundesliga,Ein Frankfurt,Bielefeld,Lead Slip,1,4,25.0
German Bundesliga,Ein Frankfurt,Bielefeld,No Recovery,1,4,25.0
German Bundesliga,Ein Frankfurt,Bielefeld,Protected Lead,1,4,25.0
German Bundesliga,Ein Frankfurt,Bielefeld,Stable Draw,1,4,25.0
German Bundesliga,Ein Frankfurt,Bochum,Comeback Win,1,8,12.5
German Bundesliga,Ein Frankfurt,Bochum,Draw Lost,1,8,12.5
German Bundesliga,Ein Frankfurt,Bochum,No Recovery,1,8,12.5
German Bundesliga,Ein Frankfurt,Bochum,Protected Lead,2,8,25.0
German Bundesliga,Ein Frankfurt,Bochum,Stable Draw,3,8,37.5
German Bundesliga,Ein Frankfurt,Darmstadt,Comeback Win,1,6,16.67
German Bundesliga,Ein Frankfurt,Darmstadt,Draw Breakthrough,1,6,16.67
German Bundesliga,Ein Frankfurt,Darmstadt,Draw Lost,1,6,16.67
German Bundesliga,Ein Frankfurt,Darmstadt,Lead Slip,1,6,16.67
German Bundesliga,Ein Frankfurt,Darmstadt,No Recovery,1,6,16.67
German Bundesliga,Ein Frankfurt,Darmstadt,Protected Lead,1,6,16.67
German Bundesliga,Ein Frankfurt,Dortmund,Draw Breakthrough,2,20,10.0
German Bundesliga,Ein Frankfurt,Dortmund,Draw Lost,4,20,20.0
German Bundesliga,Ein Frankfurt,Dortmund,Lead Collapse,1,20,5.0
German Bundesliga,Ein Frankfurt,Dortmund,Lead Slip,2,20,10.0
German Bundesliga,Ein Frankfurt,Dortmund,No Recovery,6,20,30.0
German Bundesliga,Ein Frankfurt,Dortmund,Protected Lead,2,20,10.0
German Bundesliga,Ein Frankfurt,Dortmund,Recovery Draw,1,20,5.0
German Bundesliga,Ein Frankfurt,Dortmund,Stable Draw,2,20,10.0
German Bundesliga,Ein Frankfurt,FC Koln,Draw Breakthrough,1,16,6.25
German Bundesliga,Ein Frankfurt,FC Koln,Draw Lost,5,16,31.25
German Bundesliga,Ein Frankfurt,FC Koln,Lead Collapse,1,16,6.25
German Bundesliga,Ein Frankfurt,FC Koln,Lead Slip,1,16,6.25
German Bundesliga,Ein Frankfurt,FC Koln,Protected Lead,4,16,25.0
German Bundesliga,Ein Frankfurt,FC Koln,Recovery Draw,2,16,12.5
German Bundesliga,Ein Frankfurt,FC Koln,Stable Draw,2,16,12.5
German Bundesliga,Ein Frankfurt,Fortuna Dusseldorf,Comeback Win,1,4,25.0
German Bundesliga,Ein Frankfurt,Fortuna Dusseldorf,Draw Breakthrough,1,4,25.0
German Bundesliga,Ein Frankfurt,Fortuna Dusseldorf,Protected Lead,1,4,25.0
German Bundesliga,Ein Frankfurt,Fortuna Dusseldorf,Stable Draw,1,4,25.0
German Bundesliga,Ein Frankfurt,Freiburg,Comeback Win,1,18,5.56
German Bundesliga,Ein Frankfurt,Freiburg,Draw Breakthrough,3,18,16.67
German Bundesliga,Ein Frankfurt,Freiburg,Draw Lost,2,18,11.11
German Bundesliga,Ein Frankfurt,Freiburg,Lead Slip,2,18,11.11
German Bundesliga,Ein Frankfurt,Freiburg,No Recovery,2,18,11.11
German Bundesliga,Ein Frankfurt,Freiburg,Protected Lead,3,18,16.67
German Bundesliga,Ein Frankfurt,Freiburg,Stable Draw,5,18,27.78
German Bundesliga,Ein Frankfurt,Greuther Furth,Draw Breakthrough,1,2,50.0
German Bundesliga,Ein Frankfurt,Greuther Furth,Stable Draw,1,2,50.0
German Bundesliga,Ein Frankfurt,Hamburg,Protected Lead,3,6,50.0
German Bundesliga,Ein Frankfurt,Hamburg,Stable Draw,3,6,50.0
German Bundesliga,Ein Frankfurt,Hannover,Draw Breakthrough,3,6,50.0
German Bundesliga,Ein Frankfurt,Hannover,Protected Lead,3,6,50.0
German Bundesliga,Ein Frankfurt,Heidenheim,Protected Lead,4,4,100.0
German Bundesliga,Ein Frankfurt,Hertha,Comeback Win,1,16,6.25
German Bundesliga,Ein Frankfurt,Hertha,Draw Breakthrough,2,16,12.5
German Bundesliga,Ein Frankfurt,Hertha,Draw Lost,3,16,18.75
German Bundesliga,Ein Frankfurt,Hertha,Lead Slip,2,16,12.5
German Bundesliga,Ein Frankfurt,Hertha,No Recovery,2,16,12.5
German Bundesliga,Ein Frankfurt,Hertha,Protected Lead,3,16,18.75
German Bundesliga,Ein Frankfurt,Hertha,Recovery Draw,2,16,12.5
German Bundesliga,Ein Frankfurt,Hertha,Stable Draw,1,16,6.25
German Bundesliga,Ein Frankfurt,Hoffenheim,Comeback Win,1,20,5.0
German Bundesliga,Ein Frankfurt,Hoffenheim,Draw Breakthrough,2,20,10.0
German Bundesliga,Ein Frankfurt,Hoffenheim,Draw Lost,2,20,10.0
German Bundesliga,Ein Frankfurt,Hoffenheim,Lead Slip,2,20,10.0
German Bundesliga,Ein Frankfurt,Hoffenheim,No Recovery,2,20,10.0
German Bundesliga,Ein Frankfurt,Hoffenheim,Protected Lead,7,20,35.0
German Bundesliga,Ein Frankfurt,Hoffenheim,Stable Draw,4,20,20.0
German Bundesliga,Ein Frankfurt,Holstein Kiel,Draw Breakthrough,1,2,50.0
German Bundesliga,Ein Frankfurt,Holstein Kiel,Protected Lead,1,2,50.0
German Bundesliga,Ein Frankfurt,Ingolstadt,Draw Lost,1,4,25.0
German Bundesliga,Ein Frankfurt,Ingolstadt,No Recovery,1,4,25.0
German Bundesliga,Ein Frankfurt,Ingolstadt,Protected Lead,1,4,25.0
German Bundesliga,Ein Frankfurt,Ingolstadt,Recovery Draw,1,4,25.0
German Bundesliga,Ein Frankfurt,Leverkusen,Draw Breakthrough,3,20,15.0
German Bundesliga,Ein Frankfurt,Leverkusen,Draw Lost,5,20,25.0
German Bundesliga,Ein Frankfurt,Leverkusen,No Recovery,9,20,45.0
German Bundesliga,Ein Frankfurt,Leverkusen,Protected Lead,3,20,15.0
German Bundesliga,Ein Frankfurt,M'gladbach,Comeback Win,1,20,5.0
German Bundesliga,Ein Frankfurt,M'gladbach,Draw Breakthrough,1,20,5.0
German Bundesliga,Ein Frankfurt,M'gladbach,Draw Lost,2,20,10.0
German Bundesliga,Ein Frankfurt,M'gladbach,Lead Slip,2,20,10.0
German Bundesliga,Ein Frankfurt,M'gladbach,No Recovery,4,20,20.0
German Bundesliga,Ein Frankfurt,M'gladbach,Protected Lead,4,20,20.0
German Bundesliga,Ein Frankfurt,M'gladbach,Recovery Draw,2,20,10.0
German Bundesliga,Ein Frankfurt,M'gladbach,Stable Draw,4,20,20.0
German Bundesliga,Ein Frankfurt,Mainz,Draw Breakthrough,2,20,10.0
German Bundesliga,Ein Frankfurt,Mainz,Draw Lost,1,20,5.0
German Bundesliga,Ein Frankfurt,Mainz,Lead Collapse,2,20,10.0
German Bundesliga,Ein Frankfurt,Mainz,Lead Slip,3,20,15.0
German Bundesliga,Ein Frankfurt,Mainz,No Recovery,3,20,15.0
German Bundesliga,Ein Frankfurt,Mainz,Protected Lead,5,20,25.0
German Bundesliga,Ein Frankfurt,Mainz,Recovery Draw,3,20,15.0
German Bundesliga,Ein Frankfurt,Mainz,Stable Draw,1,20,5.0
German Bundesliga,Ein Frankfurt,Nurnberg,Protected Lead,1,2,50.0
German Bundesliga,Ein Frankfurt,Nurnberg,Stable Draw,1,2,50.0
German Bundesliga,Ein Frankfurt,Paderborn,No Recovery,1,2,50.0
German Bundesliga,Ein Frankfurt,Paderborn,Protected Lead,1,2,50.0
German Bundesliga,Ein Frankfurt,RB Leipzig,Draw Breakthrough,1,18,5.56
German Bundesliga,Ein Frankfurt,RB Leipzig,Draw Lost,1,18,5.56
German Bundesliga,Ein Frankfurt,RB Leipzig,Lead Slip,2,18,11.11
German Bundesliga,Ein Frankfurt,RB Leipzig,No Recovery,4,18,22.22
German Bundesliga,Ein Frankfurt,RB Leipzig,Protected Lead,4,18,22.22
German Bundesliga,Ein Frankfurt,RB Leipzig,Recovery Draw,3,18,16.67
German Bundesliga,Ein Frankfurt,RB Leipzig,Stable Draw,3,18,16.67
German Bundesliga,Ein Frankfurt,Schalke 04,Draw Breakthrough,3,14,21.43
German Bundesliga,Ein Frankfurt,Schalke 04,Draw Lost,3,14,21.43
German Bundesliga,Ein Frankfurt,Schalke 04,Lead Slip,1,14,7.14
German Bundesliga,Ein Frankfurt,Schalke 04,No Recovery,1,14,7.14
German Bundesliga,Ein Frankfurt,Schalke 04,Protected Lead,4,14,28.57
German Bundesliga,Ein Frankfurt,Schalke 04,Stable Draw,2,14,14.29
German Bundesliga,Ein Frankfurt,St Pauli,Protected Lead,1,2,50.0
German Bundesliga,Ein Frankfurt,St Pauli,Recovery Draw,1,2,50.0
German Bundesliga,Ein Frankfurt,Stuttgart,Draw Breakthrough,2,16,12.5
German Bundesliga,Ein Frankfurt,Stuttgart,No Recovery,4,16,25.0
German Bundesliga,Ein Frankfurt,Stuttgart,Protected Lead,6,16,37.5
German Bundesliga,Ein Frankfurt,Stuttgart,Recovery Draw,1,16,6.25
German Bundesliga,Ein Frankfurt,Stuttgart,Stable Draw,3,16,18.75
German Bundesliga,Ein Frankfurt,Union Berlin,Draw Breakthrough,1,12,8.33
German Bundesliga,Ein Frankfurt,Union Berlin,Draw Lost,2,12,16.67
German Bundesliga,Ein Frankfurt,Union Berlin,Lead Collapse,1,12,8.33
German Bundesliga,Ein Frankfurt,Union Berlin,Lead Slip,1,12,8.33
German Bundesliga,Ein Frankfurt,Union Berlin,No Recovery,1,12,8.33
German Bundesliga,Ein Frankfurt,Union Berlin,Protected Lead,4,12,33.33
German Bundesliga,Ein Frankfurt,Union Berlin,Stable Draw,2,12,16.67
German Bundesliga,Ein Frankfurt,Werder Bremen,Comeback Win,1,18,5.56
German Bundesliga,Ein Frankfurt,Werder Bremen,Draw Breakthrough,3,18,16.67
German Bundesliga,Ein Frankfurt,Werder Bremen,Draw Lost,1,18,5.56
German Bundesliga,Ein Frankfurt,Werder Bremen,Lead Collapse,1,18,5.56
German Bundesliga,Ein Frankfurt,Werder Bremen,No Recovery,3,18,16.67
German Bundesliga,Ein Frankfurt,Werder Bremen,Protected Lead,3,18,16.67
German Bundesliga,Ein Frankfurt,Werder Bremen,Recovery Draw,3,18,16.67
German Bundesliga,Ein Frankfurt,Werder Bremen,Stable Draw,3,18,16.67
German Bundesliga,Ein Frankfurt,Wolfsburg,Comeback Win,1,20,5.0
German Bundesliga,Ein Frankfurt,Wolfsburg,Draw Lost,3,20,15.0
German Bundesliga,Ein Frankfurt,Wolfsburg,Lead Slip,1,20,5.0
German Bundesliga,Ein Frankfurt,Wolfsburg,No Recovery,7,20,35.0
German Bundesliga,Ein Frankfurt,Wolfsburg,Protected Lead,4,20,20.0
German Bundesliga,Ein Frankfurt,Wolfsburg,Recovery Draw,1,20,5.0
German Bundesliga,Ein Frankfurt,Wolfsburg,Stable Draw,3,20,15.0
German Bundesliga,FC Koln,Augsburg,Comeback Win,1,16,6.25
German Bundesliga,FC Koln,Augsburg,Draw Lost,3,16,18.75
German Bundesliga,FC Koln,Augsburg,Lead Slip,1,16,6.25
German Bundesliga,FC Koln,Augsburg,No Recovery,2,16,12.5
German Bundesliga,FC Koln,Augsburg,Protected Lead,3,16,18.75
German Bundesliga,FC Koln,Augsburg,Recovery Draw,1,16,6.25
German Bundesliga,FC Koln,Augsburg,Stable Draw,5,16,31.25
German Bundesliga,FC Koln,Bayern Munich,Draw Lost,3,16,18.75
German Bundesliga,FC Koln,Bayern Munich,Lead Collapse,1,16,6.25
German Bundesliga,FC Koln,Bayern Munich,Lead Slip,1,16,6.25
German Bundesliga,FC Koln,Bayern Munich,No Recovery,10,16,62.5
German Bundesliga,FC Koln,Bayern Munich,Recovery Draw,1,16,6.25
German Bundesliga,FC Koln,Bielefeld,Draw Lost,1,4,25.0
German Bundesliga,FC Koln,Bielefeld,Lead Slip,1,4,25.0
German Bundesliga,FC Koln,Bielefeld,Protected Lead,2,4,50.0
German Bundesliga,FC Koln,Bochum,Draw Breakthrough,2,6,33.33
German Bundesliga,FC Koln,Bochum,Lead Slip,1,6,16.67
German Bundesliga,FC Koln,Bochum,No Recovery,1,6,16.67
German Bundesliga,FC Koln,Bochum,Recovery Draw,2,6,33.33
German Bundesliga,FC Koln,Darmstadt,Draw Breakthrough,1,6,16.67
German Bundesliga,FC Koln,Darmstadt,Draw Lost,1,6,16.67
German Bundesliga,FC Koln,Darmstadt,Protected Lead,3,6,50.0
German Bundesliga,FC Koln,Darmstadt,Stable Draw,1,6,16.67
German Bundesliga,FC Koln,Dortmund,Comeback Win,2,16,12.5
German Bundesliga,FC Koln,Dortmund,Draw Lost,1,16,6.25
German Bundesliga,FC Koln,Dortmund,Lead Collapse,1,16,6.25
German Bundesliga,FC Koln,Dortmund,Lead Slip,2,16,12.5
German Bundesliga,FC Koln,Dortmund,No Recovery,6,16,37.5
German Bundesliga,FC Koln,Dortmund,Protected Lead,1,16,6.25
German Bundesliga,FC Koln,Dortmund,Stable Draw,3,16,18.75
German Bundesliga,FC Koln,Ein Frankfurt,Comeback Win,1,16,6.25
German Bundesliga,FC Koln,Ein Frankfurt,Draw Breakthrough,5,16,31.25
German Bundesliga,FC Koln,Ein Frankfurt,Draw Lost,1,16,6.25
German Bundesliga,FC Koln,Ein Frankfurt,Lead Slip,2,16,12.5
German Bundesliga,FC Koln,Ein Frankfurt,No Recovery,4,16,25.0
German Bundesliga,FC Koln,Ein Frankfurt,Recovery Draw,1,16,6.25
German Bundesliga,FC Koln,Ein Frankfurt,Stable Draw,2,16,12.5
German Bundesliga,FC Koln,Fortuna Dusseldorf,No Recovery,1,2,50.0
German Bundesliga,FC Koln,Fortuna Dusseldorf,Recovery Draw,1,2,50.0
German Bundesliga,FC Koln,Freiburg,Comeback Win,1,14,7.14
German Bundesliga,FC Koln,Freiburg,Draw Lost,4,14,28.57
German Bundesliga,FC Koln,Freiburg,Lead Collapse,1,14,7.14
German Bundesliga,FC Koln,Freiburg,Lead Slip,1,14,7.14
German Bundesliga,FC Koln,Freiburg,No Recovery,3,14,21.43
German Bundesliga,FC Koln,Freiburg,Protected Lead,3,14,21.43
German Bundesliga,FC Koln,Freiburg,Stable Draw,1,14,7.14
German Bundesliga,FC Koln,Greuther Furth,Comeback Win,1,2,50.0
German Bundesliga,FC Koln,Greuther Furth,Stable Draw,1,2,50.0
German Bundesliga,FC Koln,Hamburg,Draw Breakthrough,2,6,33.33
German Bundesliga,FC Koln,Hamburg,Draw Lost,1,6,16.67
German Bundesliga,FC Koln,Hamburg,Lead Slip,1,6,16.67
German Bundesliga,FC Koln,Hamburg,No Recovery,1,6,16.67
German Bundesliga,FC Koln,Hamburg,Protected Lead,1,6,16.67
German Bundesliga,FC Koln,Hannover,No Recovery,1,4,25.0
German Bundesliga,FC Koln,Hannover,Protected Lead,1,4,25.0
German Bundesliga,FC Koln,Hannover,Stable Draw,2,4,50.0
German Bundesliga,FC Koln,Heidenheim,Lead Slip,1,2,50.0
German Bundesliga,FC Koln,Heidenheim,No Recovery,1,2,50.0
German Bundesliga,FC Koln,Hertha,Draw Breakthrough,1,14,7.14
German Bundesliga,FC Koln,Hertha,Lead Collapse,1,14,7.14
German Bundesliga,FC Koln,Hertha,No Recovery,6,14,42.86
German Bundesliga,FC Koln,Hertha,Protected Lead,4,14,28.57
German Bundesliga,FC Koln,Hertha,Stable Draw,2,14,14.29
German Bundesliga,FC Koln,Hoffenheim,Draw Lost,1,16,6.25
German Bundesliga,FC Koln,Hoffenheim,Lead Collapse,1,16,6.25
German Bundesliga,FC Koln,Hoffenheim,No Recovery,8,16,50.0
German Bundesliga,FC Koln,Hoffenheim,Protected Lead,1,16,6.25
German Bundesliga,FC Koln,Hoffenheim,Stable Draw,5,16,31.25
German Bundesliga,FC Koln,Ingolstadt,Protected Lead,1,4,25.0
German Bundesliga,FC Koln,Ingolstadt,Recovery Draw,1,4,25.0
German Bundesliga,FC Koln,Ingolstadt,Stable Draw,2,4,50.0
German Bundesliga,FC Koln,Leverkusen,Draw Breakthrough,3,16,18.75
German Bundesliga,FC Koln,Leverkusen,Lead Collapse,2,16,12.5
German Bundesliga,FC Koln,Leverkusen,Lead Slip,1,16,6.25
German Bundesliga,FC Koln,Leverkusen,No Recovery,6,16,37.5
German Bundesliga,FC Koln,Leverkusen,Protected Lead,2,16,12.5
German Bundesliga,FC Koln,Leverkusen,Recovery Draw,1,16,6.25
German Bundesliga,FC Koln,Leverkusen,Stable Draw,1,16,6.25
German Bundesliga,FC Koln,M'gladbach,Comeback Win,1,16,6.25
German Bundesliga,FC Koln,M'gladbach,Draw Breakthrough,3,16,18.75
German Bundesliga,FC Koln,M'gladbach,Draw Lost,2,16,12.5
German Bundesliga,FC Koln,M'gladbach,No Recovery,5,16,31.25
German Bundesliga,FC Koln,M'gladbach,Protected Lead,3,16,18.75
German Bundesliga,FC Koln,M'gladbach,Stable Draw,2,16,12.5
German Bundesliga,FC Koln,Mainz,Comeback Win,2,16,12.5
German Bundesliga,FC Koln,Mainz,Draw Breakthrough,1,16,6.25
German Bundesliga,FC Koln,Mainz,Draw Lost,2,16,12.5
German Bundesliga,FC Koln,Mainz,Lead Slip,2,16,12.5
German Bundesliga,FC Koln,Mainz,No Recovery,2,16,12.5
German Bundesliga,FC Koln,Mainz,Protected Lead,1,16,6.25
German Bundesliga,FC Koln,Mainz,Recovery Draw,3,16,18.75
German Bundesliga,FC Koln,Mainz,Stable Draw,3,16,18.75
German Bundesliga,FC Koln,Paderborn,Protected Lead,2,2,100.0
German Bundesliga,FC Koln,RB Leipzig,Comeback Win,1,14,7.14
German Bundesliga,FC Koln,RB Leipzig,Draw Breakthrough,1,14,7.14
German Bundesliga,FC Koln,RB Leipzig,Draw Lost,1,14,7.14
German Bundesliga,FC Koln,RB Leipzig,No Recovery,6,14,42.86
German Bundesliga,FC Koln,RB Leipzig,Stable Draw,5,14,35.71
German Bundesliga,FC Koln,Schalke 04,Draw Breakthrough,3,12,25.0
German Bundesliga,FC Koln,Schalke 04,No Recovery,1,12,8.33
German Bundesliga,FC Koln,Schalke 04,Protected Lead,3,12,25.0
German Bundesliga,FC Koln,Schalke 04,Recovery Draw,2,12,16.67
German Bundesliga,FC Koln,Schalke 04,Stable Draw,3,12,25.0
German Bundesliga,FC Koln,Stuttgart,Draw Breakthrough,2,12,16.67
German Bundesliga,FC Koln,Stuttgart,Draw Lost,3,12,25.0
German Bundesliga,FC Koln,Stuttgart,No Recovery,4,12,33.33
German Bundesliga,FC Koln,Stuttgart,Stable Draw,3,12,25.0
German Bundesliga,FC Koln,Union Berlin,Comeback Win,1,10,10.0
German Bundesliga,FC Koln,Union Berlin,Draw Lost,3,10,30.0
German Bundesliga,FC Koln,Union Berlin,Lead Collapse,1,10,10.0
German Bundesliga,FC Koln,Union Berlin,No Recovery,3,10,30.0
German Bundesliga,FC Koln,Union Berlin,Recovery Draw,1,10,10.0
German Bundesliga,FC Koln,Union Berlin,Stable Draw,1,10,10.0
German Bundesliga,FC Koln,Werder Bremen,Draw Lost,2,14,14.29
German Bundesliga,FC Koln,Werder Bremen,Lead Slip,1,14,7.14
German Bundesliga,FC Koln,Werder Bremen,No Recovery,2,14,14.29
German Bundesliga,FC Koln,Werder Bremen,Protected Lead,3,14,21.43
German Bundesliga,FC Koln,Werder Bremen,Recovery Draw,1,14,7.14
German Bundesliga,FC Koln,Werder Bremen,Stable Draw,5,14,35.71
German Bundesliga,FC Koln,Wolfsburg,Draw Breakthrough,3,16,18.75
German Bundesliga,FC Koln,Wolfsburg,Draw Lost,3,16,18.75
German Bundesliga,FC Koln,Wolfsburg,Lead Slip,2,16,12.5
German Bundesliga,FC Koln,Wolfsburg,No Recovery,3,16,18.75
German Bundesliga,FC Koln,Wolfsburg,Protected Lead,2,16,12.5
German Bundesliga,FC Koln,Wolfsburg,Stable Draw,3,16,18.75
German Bundesliga,Fortuna Dusseldorf,Augsburg,Lead Collapse,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Augsburg,No Recovery,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Augsburg,Protected Lead,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Augsburg,Stable Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Bayern Munich,No Recovery,3,4,75.0
German Bundesliga,Fortuna Dusseldorf,Bayern Munich,Recovery Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Dortmund,Draw Lost,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Dortmund,No Recovery,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Dortmund,Protected Lead,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Ein Frankfurt,Draw Lost,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Ein Frankfurt,Lead Collapse,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Ein Frankfurt,No Recovery,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Ein Frankfurt,Stable Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,FC Koln,Lead Slip,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,FC Koln,Protected Lead,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Freiburg,Draw Breakthrough,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Freiburg,Draw Lost,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Freiburg,Protected Lead,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Freiburg,Stable Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Hannover,Draw Breakthrough,2,2,100.0
German Bundesliga,Fortuna Dusseldorf,Hertha,Draw Breakthrough,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Hertha,Lead Slip,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Hertha,No Recovery,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Hoffenheim,Protected Lead,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Hoffenheim,Recovery Draw,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Hoffenheim,Stable Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Leverkusen,Draw Lost,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Leverkusen,No Recovery,3,4,75.0
German Bundesliga,Fortuna Dusseldorf,M'gladbach,Draw Lost,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,M'gladbach,Lead Collapse,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,M'gladbach,Protected Lead,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Mainz,Draw Breakthrough,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Mainz,Draw Lost,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Mainz,Stable Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Nurnberg,Comeback Win,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Nurnberg,No Recovery,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Paderborn,No Recovery,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Paderborn,Stable Draw,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,RB Leipzig,No Recovery,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,RB Leipzig,Stable Draw,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Schalke 04,Draw Breakthrough,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Schalke 04,Draw Lost,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Schalke 04,Protected Lead,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Schalke 04,Recovery Draw,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Stuttgart,Protected Lead,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Stuttgart,Stable Draw,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Union Berlin,No Recovery,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Union Berlin,Protected Lead,1,2,50.0
German Bundesliga,Fortuna Dusseldorf,Werder Bremen,Draw Lost,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Werder Bremen,Protected Lead,2,4,50.0
German Bundesliga,Fortuna Dusseldorf,Wolfsburg,Draw Lost,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Wolfsburg,Lead Slip,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Wolfsburg,No Recovery,1,4,25.0
German Bundesliga,Fortuna Dusseldorf,Wolfsburg,Stable Draw,1,4,25.0
German Bundesliga,Freiburg,Augsburg,Draw Breakthrough,4,18,22.22
German Bundesliga,Freiburg,Augsburg,Lead Collapse,1,18,5.56
German Bundesliga,Freiburg,Augsburg,No Recovery,1,18,5.56
German Bundesliga,Freiburg,Augsburg,Protected Lead,6,18,33.33
German Bundesliga,Freiburg,Augsburg,Recovery Draw,1,18,5.56
